SEGMENTO;"Cooperativa de Crédito";
NOME DA INSTITUICAO;-;
CNPJ;-;
PAIS;Todos;
UF;-;
MUNICIPIO;-;
;
CNPJ;NOME DA INSTITUICAO;ENDERECO;COMPLEMENTO;BAIRRO;CEP;MUNICIPIO;UF;PAIS;DDD;FONE;SITE NA WEB;
59869560;"COOPERATIVA DE CREDITO NOSSO - SICOOB NOSSO";"AL. DR. ARMANDO SALLES DE OLIVEIRA, Nº 446";-;"CENTRO";"17800000";"ADAMANTINA";"SP";"Brasil";"18";"35022060";-;
2382755;"COOPERATIVA DE CREDITO POTIGUAR - SICOOB POTIGUAR";"TRAVESSA DOIS DE NOVEMBRO  430";-;"ALECRIM";"59030170";"NATAL";"RN";"Brasil";"84";"32122141";-;
63229629;"COOPERATIVA DE CREDITO RURAL ASCOOB SISAL";"AV. MANOEL NOVAIS, 485";-;"CENTRO";"48700000";"SERRINHA";"BA";"Brasil";"75";"32612001";"https://www.ascoobserrinha.com.br";
5220232;"COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA CONEXÕES -CRESOL CONEXÕES";"AVENIDA PRESIDENTE VARGAS, 2091";-;"NOSSA SRA DE FÁTIMA";"97015513";"SANTA MARIA";"RS";"Brasil";-;-;"https://cresolsicoper.com.br/";
5220243;"COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE SARANDI-CRESOL SARANDI";"RUA SENADOR ALBERTO PASQUALINI";"1381";"CENTRO";"99560000";"SARANDI";"RS";"Brasil";"54";"33613301";"https://www.cresolsicoper.com.br";
32422628;"COOPERATIVA DE CREDITO RURAL DE GUACUI - CREDIGUAÇUÍ";"RUA BOM JESUS DO LIVRAMENTO, 25";-;"CENTRO";"29560000";"GUACUI";"ES";"Brasil";"28";"35532194";-;
8240446;"COOPERATIVA DE CREDITO RURAL DE IBIAM - SULCREDI/IBIAM";"AVENIDA 20 DE JULHO";"830";"CENTRO";"89652000";"IBIAM";"SC";"Brasil";"49";"35340270";"https://www.sulcredi.com.br/ibiam/";
26563270;"COOPERATIVA DE CREDITO RURAL DE PRIMAVERA DO LESTE";"AVENIDA CUIABa  653";-;"CENTRO";"78850000";"PRIMAVERA DO LESTE";"MT";"Brasil";"66";"34980500";"https://www.primacredi.com.br";
3485130;"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DAS ENCOSTAS DA SERRA GERAL – CRESOL ENCOSTAS DA SERRA GERAL";"RUA GERMANO HERMESMEYER, Nº 170";"SALA 1";"CENTRO";"88763000";"SANTA ROSA DE LIMA";"SC";"Brasil";"48";"36540170";"https://www.cresolcentral.com.br";
7958405;"COOPERATIVA DE CREDITO RURAL E ECONOMIA COM INTERAÇÃO SOLIDARIA DE RIO FORTUNA - CRESOL RIO FORTUNA";"RUA JORGE LACERDA, 294";"SALA 01";"CENTRO";"88760000";"RIO FORTUNA";"SC";"Brasil";"48";"36531342";"https://www.cresolcentral.com.br";
